"GHINDICI SRL","13138553","J13/1215/2000","ROONRC.J13/1215/2000","1048,2080,2114","Loc. Murfatlar, Oras Murfatlar, Aleea LILIACULUI Nr. 2, Bloc B4, Scara 2, Apartament 44, Judet Constanta","","","40988","40772","152","64","","133989","133989","","-93001","210","","9661","9661","6983","2678","0","2388","0",""
"BARKLAV SRL","13019269","J13/1084/2000","ROONRC.J13/1084/2000","1048,2080","Municipiul Constanta, B-dul MAMAIA Nr. 251-253, Etaj 2, Judet Constanta","231276","231276","5588929","","575175","5013754","903","5491911","5491911","","329197","1000","","2026992","2448875","2273287","175588","0","153358","0","11"
"A.D.I.Z. DESIGN CONSTRUCT SRL","35431499","J40/525/2016","ROONRC.J40/525/2016","1048","Bucuresti Sectorul 3, Str. PICTOR ION TUCULESCU Nr. 37, Bloc O7, Scara A, Apartament 6","7111","4035","125858","3167","53177","69514","","12018","","","117875","200","","142010","142010","63693","78317","0","76897","0","1"
"PUMAC SA","447042","J40/200/1991","ROONRC.J40/200/1991","1048,2080","Bucuresti Sectorul 6, Spl. INDEPENDENTEI Nr. 319, OB.5","5822098","5822098","23924393","7239","962177","22954977","222945","32629507","32629507","","-2660071","2115976","","63804","1649649","4055727","0","2406078","0","2409927","0"
"COMINAL-ROCO SRL","437952","J40/4250/1991","ROONRC.J40/4250/1991","1048,2080","Bucuresti Sectorul 3, Str. POET PANAIT CERNA Nr. 10, Bloc M43, Etaj 6, Apartament 25","","","3656","2311","856","489","510","62190","62190","","-58024","213","","153932","156432","169395","0","12963","0","14528","1"
"DONA INSTAL GENERAL SRL","35431464","J40/526/2016","ROONRC.J40/526/2016","1048","Bucuresti Sectorul 6, Str. DEZROBIRII Nr. 126","7112","4750","33581","0","0","33581","0","6282","0","0","32049","200","0","58880","58882","50581","8301","0","6535","0","1"
"SIROM 99 SRL","11635858","J13/931/1999","ROONRC.J13/931/1999","1074,2080,2120","Municipiul Constanta, Str. VANATORI Nr. 17, Judet Constanta","","","122163","122151","12","","","232573","232573","","-110410","200","","","0","150","0","150","0","150",""
"PRINCEPS IDEAS SRL","35431383","J40/527/2016","ROONRC.J40/527/2016","1048","Bucuresti Sectorul 3, Drumul GURA PUTNEI Nr. 19, CAMERA NR. 1","7430","326","51438","2554","14166","34718","","29994","","","21770","200","","83299","83306","59946","23360","0","21960","0","1"
"CRIDO KIDS SRL","13266960","J13/1412/2000","ROONRC.J13/1412/2000","1052,2065,2078,2080,2081","Municipiul Mangalia, Str. ROZELOR Nr. 34, Bloc R16, Scara C, Etaj P, Apartament 39, Judet Constanta","","","155754","155733","21","","","39050","39050","","116704","200","","","0","","0","0","0","0",""
"LANGUAGE CONNECT SRL","35431723","J40/528/2016","ROONRC.J40/528/2016","1048","Bucuresti Sectorul 4, Str. GARNITEI Nr. 2, Bloc 52, Etaj 4, Apartament 28","7430","2447","44576","","2555","42021","","353","","","46670","200","","29811","29811","8538","21273","0","20379","0",""
